Utterance,Emotion,Sentiment,Dominance
"Listen uh, I’d prefer it if you didn’t call me Joey.",neutral,neutral,0.007090909090909
"Since I don’t know anyone here, I thought it’d be cool to try out a cool work nickname.",neutral,neutral,0.1071666666666666
"Hey, dragon! Here’s your tips from Monday and Tuesday.",neutral,neutral,0.0074444444444444
There’s like-there’s like 300 bucks in this one!,surprise,negative,0.009
Because we can remember them.,neutral,neutral,0.0465999999999999
Because your all gonna make up fake specials and make me cook them like you did the other night?,anger,negative,0.005578947368421
"Question. Was ah, ‘Egg the Gellers!’ the war cry of your neighbourhood?",neutral,neutral,0.0229166666666666
Ewww! Oh! It’s the Mattress King!,disgust,negative,0.0963333333333333
Don’t look honey. Change the channel! Change the channel!,disgust,negative,0.0326666666666666
I know!,anger,negative,0.204
"And four ninety-nine for a pillow top queen set, who cares about the divorce, those babies will sell themselves.",anger,negative,0.0192631578947368
And I’m appalled for you by the way.,anger,negative,0.00075
"Yeah, I’m gonna go to a doctor who went to school in a mini-mall.",disgust,negative,0.0485714285714285
Monica kinda trusted me with something and she shouldn’t have!,fear,negative,0.0186
"All right, I haven’t lived here in a while, so I have to ask you something.",neutral,neutral,0.0723124999999999
"All right, look, here’s the bottom line Ross, this is fixable, if we act fast, okay.",neutral,neutral,0.101625
"Look, honey, I have tried to make nice, it doesn’t work.",anger,negative,0.1389999999999999
"Okay, look, Ross, I realise that my Father is difficult, but that’s why you have got to be the bigger man here.",neutral,neutral,0.0641363636363636
"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldn’t make any difference, except that I could pick your Father up and say ‘Like me!",anger,negative,0.0754146341463414
"Okay, well can’t you just try it one more time Ross? For me? For me?",sadness,negative,0.0866666666666666
"Okay, well you are just gonna have too, okay.",anger,negative,0.0351111111111111
"Because I already got a Mother and a Father who cannot stay in the same room together, okay, I don’t wanna have to have a separate room for you too!",anger,negative,0.0218666666666666
"All right, then you'd better show me some of that too then.",neutral,neutral,0.1569166666666666
"No Joey, look. Trust me, all the men are wearing them in the spring catalog. Look.  See look,",neutral,neutral,0.1019473684210526
Exactly! Unisex!,neutral,neutral,0.0279999999999999
"Well, I ain't gonna say no to that.",neutral,neutral,0.00475
"So, um, have you told your parents?",neutral,neutral,0.0731428571428571
"No, but it'll be OK, they're pretty cool, my brother's straight so. . .",neutral,neutral,0.0631428571428571
Here you go.,neutral,neutral,0.0103333333333333
"You know what, I just have one more question, um, if you had figured this out sooner and um, I had been around, do you think that I would have been the one who.",neutral,neutral,0.0227941176470588
I love you Phoebe.,joy,positive,0.0585
So your brother's straigh huh? Seriously.,surprise,positive,0.0583333333333333
"I just came over to drop off…nothing. So that weekend kinda sucked, huh?",neutral,neutral,0.0116153846153846
"So, I guess this is over.",sadness,negative,0.0998333333333333
"Because of the weekend, we had a fight.",sadness,negative,0.134125
If you give up every time you'd have a fight with someone you'd never be with anyone longer than—Ohhh!,anger,negative,0.0623157894736842
"So, this isn't over?",neutral,neutral,0.16675
"No, it was a fight.",neutral,neutral,0.1236
You deal with it and move on!,joy,positive,0.0688571428571428
Really? Okay. Great!,joy,positive,0.1286666666666666
"Ohh, welcome to an adult relationship!",joy,positive,0.1383333333333333
We're in a relationship?,surprise,negative,0.055
What? Yeti—I mean Danny?,neutral,neutral,0.06
I want to keep one.,neutral,neutral,0.006
"Ohh, I'm gonna be on the news!",joy,positive,0.0085714285714285
What? Honey.,neutral,neutral,0.01
"Oh God, I’m so sorry.",sadness,negative,0.0392
I know.,neutral,neutral,0.204
Oh God!,surprise,negative,0.386
Got a job on a river boat?,neutral,neutral,0.1154285714285714
You like it right?,neutral,neutral,0.078
Oh absolutely. I like it even more on you than I did on Colonel Sanders.  Ross! Ross! I’m kidding!,neutral,neutral,0.10645
"Yeah, come here!",neutral,neutral,0.0456666666666666
What-what was it you were gonna tell us?,neutral,neutral,0.0755
"Oh uh, up or down?",neutral,neutral,0.0168
Could you press up too please?,neutral,neutral,0.0123333333333333
"Well, it’s a long story.",neutral,neutral,0.1284
Let’s just say there was a typographical error with a sex manual.,joy,positive,0.0158333333333333
How about you?,neutral,neutral,0.0986666666666666
"Well umm, if you have sometime y’know and maybe you might want to visit someone else",neutral,neutral,0.0186874999999999
"Oh we did, and you still have all your lamps.",neutral,neutral,0.0506
"Oh, I didn't factor in the room tax.",surprise,negative,0.03925
Oh my god.,surprise,positive,0.2573333333333333
"Look, we have enough, just walk away.",fear,negative,0.0992857142857143
There's a forest right outside.,neutral,neutral,0.0095999999999999
"Ok, go quick!",fear,negative,0.1293333333333333
Thank you for a delightful stay.,joy,positive,0.069
"Oh my God, what happened?",surprise,negative,0.1544
"Oh. God, crazy Chandler. He spun me...off...the...bed!",joy,positive,0.1254285714285714
Wow! Spinning that sounds like fun.,joy,positive,0.025
"Oh,  I wish. No, you know he was just trying Ross's Hug and Roll thing.",joy,positive,0.046375
"You know what, where he hugs you and kinda rolls you away and... Oh... my....God.",disgust,negative,0.0141333333333333
"Yes!! Yes! Yes! Yes!! That’s my Dad, that’s Frank! Yeah! I’m sorry I’m getting all flingy.",surprise,positive,0.0374374999999999
"Oh, okay. Well, so tell me everything about my parents. Everything.",neutral,neutral,0.0498181818181818
"Ohh, well. Y'know we were always together, in fact the had a nickname for the three of us.",neutral,neutral,0.0529444444444444
"Ohh, y'know I-I heard about what happened, that must have been just terrible for you, losing your mother that way.",sadness,negative,0.02285
"Yeah, no, it was great.",joy,positive,0.0996
"Well, alright, we already tried feeding her, changing her,  burping her, oh try this one!",sadness,negative,0.038875
"Alright here’s something, it says to try holding the baby  close to your body and then swing her rapidly from side to side.",neutral,neutral,0.0231666666666666
"Yeah, I’m not so sure.",neutral,neutral,0.0928
"Oh my god, I am losing my mind.",anger,negative,0.059
"Yeah, no kidding, this just proves no good can come from  having sex with Ross!",anger,negative,0.051
"Well, you’re not.",neutral,neutral,0.0493333333333333
"Oh, it’s so easy for you I mean, you’re not married, you get to have sex with who ever you want!",disgust,negative,0.0645714285714285
"Yeah I can!  And don’t think I don’t, because I do! I mean all the time, you betcha!",joy,positive,0.0658421052631578
"Monica. You’ve, you’ve done it right?",surprise,positive,0.0699999999999999
"Of course I have! What do you think, I’m some 30 year old virgin?",anger,negative,0.0201428571428571
Oh my God! You’re a 30 year old virgin!,surprise,negative,0.0584444444444444
"It’s not like, I haven’t any opportunities.",anger,negative,0.0594285714285714
"I mean, y’know, I’m just waiting for the perfect guy.",neutral,neutral,0.1187
"I’m seeing this guy Roger, all right?",neutral,neutral,0.1524285714285714
"He’s not perfect, but umm, I think maybe I should just get it over with.",neutral,neutral,0.1371333333333333
"Oh my God!! Do it!! Honey, you’ve waited",surprise,negative,0.108
Y’know what? You are right?!,surprise,positive,0.0839999999999999
I mean sex does not have to be a big deal!,anger,negative,0.1203636363636363
There shouldn’t be all this rules and restrictions!,anger,negative,0.104875
"Y’know, people should be able to sleep with who ever they want, whenever",neutral,neutral,0.0613846153846153
Rachel! I’m never gonna think it’s okay for you to cheat on your husband!,anger,negative,0.0043571428571428
Oh what do you know? Virgin!,anger,negative,0.0673333333333333
"Push, push!",neutral,neutral,0.048
We're here!,joy,positive,0.0925
Where have you been?,neutral,neutral,0.0465
"Long story, honey.",neutral,neutral,0.1713333333333333
"All right, Carol, I need you to keep pushing. I need— Excuse me, could I have this?",neutral,neutral,0.0091176470588235
C'mon up.,neutral,neutral,0.068
And you got a 'hate' from that?! Your taking a big leap there...,fear,negative,0.0828461538461538
"All right, fine, fine, fine, fine, fine, we've got to do something about our little situation here Joey.",anger,negative,0.1187777777777778
"So, this is my idea: you and me spending some quality time together.",neutral,neutral,0.1041538461538461
"Guess what, I got an audition!",joy,positive,0.019
"Awww, one of my students got an audition. I’m so proud.",joy,positive,0.0523636363636363
"Oh it’s great, it’s a role on",joy,positive,0.0862857142857143
I thought he was with you.,neutral,neutral,0.1163333333333333
"You can’t ask us son, that’s cheating.",neutral,neutral,0.0994285714285714
"You’re right, thanks for keeping me honest dad.",neutral,neutral,0.23775
"Well, he better not come by here. He can’t see the bride in the wedding dress.",neutral,neutral,0.1243125
"As I recall when we got married, I saw the groom in the wedding dress.",joy,positive,0.0593999999999999
"But that was after the wedding, it’s not bad luck then.",neutral,neutral,0.0136363636363636
"Honey, it isn’t good luck.",neutral,neutral,0.1044
Oh my God! Monica!,surprise,positive,0.193
"I know! Hey, how’s Chandler doin’?",neutral,neutral,0.0066666666666666
Great. He’s doing great. Don’t you worry about Chandler.,neutral,neutral,0.0757777777777777
"I’m really glad you guys are okay but, I just keep thinking what would happen if-if you two  actually had hooked up.",neutral,neutral,0.0597391304347826
"So, we did okay at the strip club, right?",neutral,neutral,0.0289999999999999
"Oh yeah, that was great. Thanks to you, the hottest cocktail waitress there is quitting to teach the third grade!",anger,negative,0.0056499999999999
I can’t believe it! He still hasn’t called.,anger,negative,0.067375
"What, he doesn’t like Josh?",surprise,negative,0.0896
"All right, well I’m gonna put my sweats back on.",neutral,neutral,0.0243
"Okay, y’know what, you were right, you were right.",sadness,negative,0.0766666666666666
"We really weren’t great at being guys, but you know why?",sadness,negative,0.1137272727272727
I played bad on purpose guys.,joy,positive,0.0763333333333333
"Yeah—no, just that last song.",neutral,neutral,0.0236
"Oh, I was thinking about having people over for the game.",neutral,neutral,0.0804545454545454
The players.,neutral,neutral,0.144
"Please, it’s a relief is what it is, is what it is.",neutral,neutral,0.0009999999999999
"All right Pheebs, stick out your plate!",neutral,neutral,0.0831428571428571
I don’t want to say.,neutral,neutral,0.032
"Oh, come on! I don’t care! Come on! Whose is it?",joy,positive,0.0269090909090909
"I’m sorry, but I just wrote the best dance song for your wedding. Check this out.",neutral,neutral,0.0785625
"No, Phoebe, I’ll tell you what, if you get ready now I’ll let you play it at the wedding.",neutral,neutral,0.01
Oh that’s so exciting!,joy,positive,0.1445
"Fair enough, now go get ready!",neutral,neutral,0.0949999999999999
"I’ll get everybody else , finally we can start celebrating my— I’m sorry, uh apparently I’ve opened the door to the past.",neutral,neutral,0.0038636363636363
"My feet’s best friends, pals to the end.",joy,positive,0.0677499999999999
"God, it’s gonna so weird like when I come home and you’re not here.",sadness,negative,0.0530714285714285
No more Joey and Chan’s.,sadness,negative,0.1416
No more J and C’s.,sadness,negative,0.1416
"""You wanna go over to Joey and Chandler’s?""",neutral,neutral,0.069375
"Look, I’m just gonna be across the hall, we can still do all the same stuff.",neutral,neutral,0.0323124999999999
Yeah but we won’t be able to like get up in the middle of the night and have those long talks about our feelings and the future.,sadness,negative,0.0854444444444444
Not once did we do that.,neutral,neutral,0.0458333333333333
"So I, I told Rachel it was just gonna be the two of us.",neutral,neutral,0.0752857142857142
All right! Let’s do it!,joy,positive,0.1798
Monica? What time is it?,neutral,neutral,0.0532
I guess I'll get washed up then. Watch that sunrise.,neutral,neutral,0.0036
"I know, me too.",neutral,neutral,0.102
Y'know what if we went away for a whole weekend?,neutral,neutral,0.0344999999999999
Y'know we'd have no interruptions and we could be naked the entire time.,joy,positive,0.0197692307692307
All weekend? That's a whole lotta naked.,surprise,positive,0.0235714285714285
"Oh umm, there’s also a book here by a woman named Wendy Bagina.  What is that?",neutral,neutral,0.0066470588235294
Sounds like two people are really enjoying the Dewey decimal system.,neutral,neutral,0.0138181818181818
"Oh you know uh Kash, really liked you the other day. He said he thought you were charming.",neutral,neutral,0.0737222222222222
Okay I-I just have to stop by my place first.,neutral,neutral,0.0828
"No-no, I-I have to see if this apartment became available.",neutral,neutral,0.0216
"It’s not for me, it’s for Rachel.",neutral,neutral,0.012
But Rachel has an apartment.,neutral,neutral,0.032
"Yeah, but when the baby comes she’s gonna want to move.",neutral,neutral,0.0332727272727272
She is?,surprise,negative,0.024
I guess I didn’t really think about it.,neutral,neutral,0.0149999999999999
Look what I got! Look what I got! Look what I got!  Can you believe they make these for little people?,surprise,positive,0.0177272727272727
"Okay, look at this one. This is my favourite.",joy,positive,0.0157777777777777
I know! Phoebe is gonna love dressing them in these!,joy,positive,0.0616
Oh my God! We are throwing the most depressing baby shower ever!,sadness,negative,0.0755833333333333
"Oh, she’s gonna love that!",joy,positive,0.032
Okay you two are asking the court for an annulment?,neutral,neutral,0.0163999999999999
"Yes your honor, and here are, are forms, all filled out.",neutral,neutral,0.1343636363636363
So based on your petition you are seeking an annulment on the grounds that Mr. Geller is mentally unstable.,neutral,neutral,0.0013684210526315
And based on the fact that Mr. Geller is intravenous drug user.,neutral,neutral,0.0395833333333333
"Uh yes, heroin and crack.",neutral,neutral,0.0386
"Well, you would know.",neutral,neutral,0.1025
Now it also says here that you lied about your sexual preference before marriage?,neutral,neutral,0.0735714285714285
"Oh, come on!",sadness,negative,0.0573333333333333
"I know, I lied! I didn’t want her to think I was a terrible mother! I can’t even see my own baby!",sadness,negative,0.027
"Oh sure, come here!  Sure you can! Uh, look come here look,  it’s-it’s-it’s, it’s right there .",neutral,neutral,0.1304210526315789
Do you really?,neutral,neutral,0.0239999999999999
Sweetie that’s it.,joy,positive,0.0093333333333333
"That’s it? Well I saw that! Ohh-ohh-oh, thank you.",joy,positive,0.0262222222222222
You’re welcome.,neutral,neutral,0.164
Wow! I can’t believe that’s our baby.,surprise,positive,0.0628571428571428
Gin.,neutral,neutral,0.036
"We were playing Gin? Y'know if we were a couple, we could play this game naked.",joy,positive,0.0271249999999999
Will you stop!,joy,positive,0.15
Okay. All right.,neutral,neutral,0.1976666666666666
"Okay, all right, I think you’re great, I think you’re sweet, and you’re smart, and I love you.",joy,positive,0.1404999999999999
But you will always be the guy who peed on me.,disgust,negative,0.0053636363636363
"So you uh, want to do something tonight?",neutral,neutral,0.02925
Oh I can’t. Dr. Roger is coming over again.,neutral,neutral,0.083
Oh right!,surprise,positive,0.21
Right!,surprise,positive,0.42
"I mean, I remember a time when",sadness,negative,0.0522857142857142
"Yeah! Totally! Totally, and you?",joy,positive,0.1372
"Great! It’s so amazing! I mean, last time Dr. Roger came over, I was",joy,positive,0.1327857142857143
I bet he can.,neutral,neutral,0.082
"Y’know, I don’t have an appointment, but I sure could use a physical.  Are you sure you’re okay?",neutral,neutral,0.0488421052631578
You got the clothes clean. Now that's the important part.,neutral,neutral,0.0252
"Oh, I guess. Except everything looks like jammies now.",neutral,neutral,0.0117777777777777
"Yeah, but what if it's not? What if there    is a reason why we can't have a baby?",fear,negative,0.0009999999999999
"Oh, Chandler, look. You and Monica are meant to have children.    I am sure it's gonna be just fine.",neutral,neutral,0.067090909090909
I can't believe    I didn't even think of that.,surprise,positive,0.0036666666666666
I guess I was just so worried about having to...    come here and do... 'that'...,sadness,negative,0.0293888888888888
"Look, not that I enjoy talking about people who I went to high school with, ‘cause I do, but umm, maybe we could talk about something else?",disgust,negative,0.0278518518518518
"Like you, I don’t even know where you work?",surprise,positive,0.0888888888888888
"Yeah. Well, I think our second fight is going to be a",anger,negative,0.0446666666666666
"Well, I was going to stick it in the ATM, but now I think I’ll show the sexy teller that I am a published writer.",neutral,neutral,0.0694399999999999
"Well, she is going to know that you stole the joke.",anger,negative,0.0003636363636363
"Ah, Gunther, I can’t pay for this right now because I’m not working, so I’ve had to cut down on some luxuries like uh, payin’ for stuff.",neutral,neutral,0.0059259259259259
"Well, if you want, you can work here.",neutral,neutral,0.111875
"Uh, I don’t know.",neutral,neutral,0.102
"And to go from that to this, I just… Plus, I’d have to wait on all my friends.",sadness,negative,0.0198333333333333
"Okay, but the money’s good, plus you get to stare at Rachel as much as you want.",neutral,neutral,0.0308235294117647
I have no name.,neutral,neutral,0.0039999999999999
"All right, so, what are we supposed to call you?",neutral,neutral,0.1118
No way are you cool enough to pull of Clint.,disgust,negative,0.0082
What’s up with Gene?,surprise,negative,0.139
Welcome to Las Vegas.,neutral,neutral,0.049
Thank you!  Enjoy your flight?,joy,positive,0.1641666666666666
"Yes, I did. Thank you very much, it was excellent.",joy,positive,0.0954
Hope you had a nice flight.,neutral,neutral,0.1586666666666666
"Ohh, it was the best!",joy,positive,0.0404
"Umm, do health inspectors work on commission?",neutral,neutral,0.1651428571428571
It's okay to laugh right?,joy,positive,0.072
Come on Joey!!!,anger,negative,0.0573333333333333
"Look, it's not that big of a deal, so Monica and Chandler are doing it.",neutral,neutral,0.0565333333333333
No! I mean come on! This is a,anger,negative,0.0574999999999999
I don't know.,neutral,neutral,0.0406666666666666
Is he romantic with her?,joy,positive,0.16
Are they in love?,joy,positive,0.0585
You don't know anything.,anger,negative,0.0305
They did it right there on the couch.,neutral,neutral,0.0174999999999999
Who's he sleeping with?,neutral,neutral,0.0355
"I know we both said some things we didn't mean, but that doesn't mean we still don't love each other.",neutral,neutral,0.0410999999999999
"So you see, Molly, what people don't understand is that acting    is a discipline. It takes a lot of hard work.",neutral,neutral,0.0208333333333333
So where did you study?,neutral,neutral,0.1072
"Oh, I didn't go to college.",neutral,neutral,0.0633333333333333
"No, where did you study acting?",neutral,neutral,0.0893333333333333
Molly ... people don't study acting ...,neutral,neutral,0.0357142857142857
"Molly, ah, do you mind giving us just a minute?",neutral,neutral,0.1454
"Sure, I'll go check on Emma.",neutral,neutral,0.0223333333333333
Will the stable boy never get the princess??,sadness,negative,0.1475
"What do you think you're gonna do, have sex with her right here    on my couch?",disgust,negative,0.0622631578947368
"You know, this isn't fair.",anger,negative,0.1387999999999999
What makes you think that I'm just gonna sleep with her and then blow her off?,anger,negative,0.0215625
"Can't you guys open your minds to the possibility that I actally like her,    and might want something real?",anger,negative,0.081090909090909
"Look, the truth is, I haven't felt this    way about anyone since Rachel, ok?",sadness,negative,0.0070588235294117
I didn't think I could ever love again.,sadness,negative,0.0225
Come on! Joe!,joy,positive,0.0573333333333333
"Hi, is Molly here?",neutral,neutral,0.04775
"Yeah, come on in. Molly?",neutral,neutral,0.01
"Ok ...  Well, uh, Joey, I guess    we have no problem.",neutral,neutral,0.0309999999999999
"It's like my favorite fairy tale come true!  The princess, the stable boy and the lesbian!",joy,positive,0.078
"And what’s cool is, the character is from Naples, right?",joy,positive,0.145
My whole family’s from Naples!,joy,positive,0.0288
Hey right!,surprise,positive,0.0719999999999999
I totally understand.,neutral,neutral,0.2299999999999999
This room’s available.,neutral,neutral,0.082
It’s only fair!,anger,negative,0.123
"Not this hospital, I’m going to sue you!",anger,negative,0.06925
And my husband  he’s a lawyer!,anger,negative,0.1254285714285714
"Ross-Ross-Ross-Ross! Stay away from that guy , and that guy . And that one—Dude! They’re all huge!",fear,negative,0.0525294117647058
They don’t look any bigger than me!,neutral,neutral,0.0788571428571428
"Well, maybe that’s because you’re closer to you. So you look bigger to you from where you are.",anger,negative,0.0051666666666666
I’m just going to say hi to the lads. All right?,neutral,neutral,0.0897272727272727
All right.,neutral,neutral,0.4135
I totally don’t know what you’re talking about.,neutral,neutral,0.1015
Come on! The time we were all waiting in line for,anger,negative,0.0609090909090909
"No, Pheebs, listen, if you decide to do this, we’ll be supportive like crazy.",neutral,neutral,0.0417142857142857
We just want you to think it through.,neutral,neutral,0.195375
My mom never gave birth. Oh! But my birth mom did.,neutral,neutral,0.0332727272727272
Thank you. All right.,neutral,neutral,0.21975
"Umm, all righty, before we get started I just—I need you to state for the official record that you are in fact Frank Buffay.",neutral,neutral,0.07625
Lucky sixes....,neutral,neutral,0.0639999999999999
"Everybody, this is Paolo. Paolo, I want you to meet my friends. This is Monica.",neutral,neutral,0.0489333333333333
He doesn't speak much English.,neutral,neutral,0.1196
Look at that!,surprise,positive,0.0766666666666666
"Oh... Italy, I think.",neutral,neutral,0.059
"No, I mean tonight, in the building. Suddenly. Into our lives.",neutral,neutral,0.1010909090909091
"That, that is funny... .... and Rachel keeps touching him.",neutral,neutral,0.0293
Alright. I looked all over the building and I couldn't find the kitty anywhere.,neutral,neutral,0.0708571428571428
"Oh, I found him. He was Paolo's cat.",neutral,neutral,0.039125
"Ah, Paolo, this is Phoebe.",neutral,neutral,0.0096
You betcha!,joy,positive,0.146
"Okay, where in the hell did you get that?!",surprise,negative,0.0255555555555555
"When Mom and Dad drove you to the hospital to get your nose fixed, I swam into the lake and fished it out.",neutral,neutral,0.0643913043478261
"No it’s not! You want it, you’re gonna have to win it!",anger,negative,0.0903333333333333
"All right, so are we not having dinner at all?",sadness,negative,0.1409
Because I don't work at the Szechwan Dragon.,neutral,neutral,0.07975
I know I do.,neutral,neutral,0.12
"Rach, look!  Oh, hi! Where is my strong Ross Skywalker to come rescue me.  There he is.",joy,positive,0.1309473684210526
"You know what this is, this is us getting ready for the prom.",neutral,neutral,0.0884615384615384
What?! You got us evicted!!,anger,negative,0.1444
Well he made Rachel cry!,disgust,negative,0.0762
That’s not true!,anger,negative,0.1846666666666666
"All right! I’ll try! But if I can’t, you can stay with Chandler and I until you get settled.",neutral,neutral,0.0561578947368421
"All right, all right, all right.",neutral,neutral,0.4135
"I mean I’ll have to check with him first, but I’ll think he’ll be cool with it.",neutral,neutral,0.1264117647058823
"So, he’s just a nice guy. You really think this Mark doesn’t want anything in exchange for helping him?",joy,positive,0.0846842105263157
"Well, I assume I’ll have to take showers with him, but y'know, that’s true of any job.",neutral,neutral,0.0385294117647058
How ya feelin’?,neutral,neutral,0.0986666666666666
"Well, my apartment isn’t there anymore, because I drank it.",neutral,neutral,0.0166
Where’d you get too? We lost you after you opened up all the presents.,neutral,neutral,0.0657142857142857
I can’t remember which sister.,sadness,negative,0.0064
You see what men do! Don’t tell me men are not nice!  This is men!!,anger,negative,0.129375
"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",sadness,negative,0.0311379310344827
This sounds like a hernia. You have to—you-you—Go to the doctor!,surprise,negative,0.0038181818181818
"‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",anger,negative,0.0109565217391304
Why did I have to start working out again?,disgust,negative,0.0291111111111111
It’s got all of these layers.,neutral,neutral,0.0231666666666666
"No, but he told me, he thinks your a fox.",neutral,neutral,0.1555
"Welcome everybody, welcome to Amazing Discoveries!",joy,positive,0.336
"Oh, oh! It's on again!",joy,positive,0.0175999999999999
"You guys, can we please not watch this all right.",disgust,negative,0.0948
"Oh, you said it Mike.  Aw! There's got to be a better way!",anger,negative,0.0362857142857142
And there is Kevin.,neutral,neutral,0.012
Can we please turn this off?,sadness,negative,0.0059999999999999
There is a revolutionary new product that guarantees that you'll never have to open up milk cartons again. Meet the Milk Master 2000.,neutral,neutral,0.0866086956521739
Are you intrigued?,surprise,positive,0.111
You're flingin'-flangin' right I am!,joy,positive,0.0839999999999999
Go ahead.,neutral,neutral,0.1169999999999999
"Well, you might want to tell him it sounds like his wife is  gay.",neutral,neutral,0.0798
She is not…  She’s gay. Oh my God. She is,anger,negative,0.0789090909090909
I’m sorry your husband cheated on you.,sadness,negative,0.007
I’m sorry your wife is gay. I guess women aren’t that great either.,sadness,negative,0.017
Try telling my wife that.,sadness,negative,0.0664
"Hey Ross, will you pass me that knife?",neutral,neutral,0.0079999999999999
I'll sneak over as soon as Ross picks up Ben.,neutral,neutral,0.0571
"Awww, y'know what your nickname is, Mr. Big",joy,positive,0.030375
I can’t believe I’m going to lose this job!,sadness,negative,0.0166666666666666
Yeah! Help me get this mini-fridge past the security guard.,neutral,neutral,0.0846
"Hey Joey, I want to talk to you.",neutral,neutral,0.0134999999999999
"Hi, how are ya?",neutral,neutral,0.074
"Joey, Joey, I-I-I’ll g-get you your job back if you help me out.",neutral,neutral,0.0219230769230769
Why should I help you?!,anger,negative,0.0268
