Utterance,Emotion,Sentiment,Arousal
Crack isn’t even an intravenous drug!,anger,negative,0.151
Now it also says here that you lied about your sexual preference before marriage?,neutral,neutral,0.1114285714285714
Do you really?,neutral,neutral,0.032
You’re welcome.,neutral,neutral,0.055
Gin.,neutral,neutral,0.102
"We were playing Gin? Y'know if we were a couple, we could play this game naked.",joy,positive,0.1799375
"Hey, check me out, I’m a slut!",joy,positive,0.0734285714285714
"So you uh, want to do something tonight?",neutral,neutral,0.02525
"Great! It’s so amazing! I mean, last time Dr. Roger came over, I was",joy,positive,0.0007142857142857
I bet he can.,neutral,neutral,0.0289999999999999
"Whoa, I'm sorry. Excuse me. We had this cart.",anger,negative,0.0127777777777777
"Yeah, but what if it's not? What if there    is a reason why we can't have a baby?",fear,negative,0.0017142857142857
I guess I was just so worried about having to...    come here and do... 'that'...,sadness,negative,0.0112222222222222
"Look, not that I enjoy talking about people who I went to high school with, ‘cause I do, but umm, maybe we could talk about something else?",disgust,negative,0.0031481481481481
"So, you stole my joke, and you stole my money.",anger,negative,0.1476
"Well, I was going to stick it in the ATM, but now I think I’ll show the sexy teller that I am a published writer.",neutral,neutral,0.0099599999999999
"Well, she is going to know that you stole the joke.",anger,negative,0.0898181818181818
"Oh, what are you going to do, follow me down there?",anger,negative,0.048
"All right, so, what are we supposed to call you?",neutral,neutral,0.0177
What’s up with Gene?,surprise,negative,0.198
Thank you!  Enjoy your flight?,joy,positive,0.0693333333333333
"Yes, I did. Thank you very much, it was excellent.",joy,positive,0.0307
"No, bribes.",neutral,neutral,0.19
Is he romantic with her?,joy,positive,0.0124
Are they in love?,joy,positive,0.0835
What?,joy,positive,0.046
"Oh, c'mon Dora, don't be mad...",neutral,neutral,0.0433333333333333
"Y'know, I feel like I've lost her..  Ba-!",joy,positive,0.0262222222222222
So where did you study?,neutral,neutral,0.0778
"No, where did you study acting?",neutral,neutral,0.1125
"What do you think you're gonna do, have sex with her right here    on my couch?",disgust,negative,0.0128947368421052
What makes you think that I'm just gonna sleep with her and then blow her off?,anger,negative,0.00225
"Can't you guys open your minds to the possibility that I actally like her,    and might want something real?",anger,negative,0.0263636363636363
"Hi, is Molly here?",neutral,neutral,0.14825
"Ok ...  Well, uh, Joey, I guess    we have no problem.",neutral,neutral,0.0099999999999999
Not a problem.,neutral,neutral,0.0959999999999999
You need to y’know make sure I don’t have any horrible scars or tattoos.,neutral,neutral,0.0159999999999999
It’s only fair!,anger,negative,0.038
And if you bring in one woman and she has her baby before me I’m going to sue you!,anger,negative,0.0076842105263157
"Not this hospital, I’m going to sue you!",anger,negative,0.1555
And my husband  he’s a lawyer!,anger,negative,0.0197142857142857
I’m just going to say hi to the lads. All right?,neutral,neutral,0.0364545454545454
We just want you to think it through.,neutral,neutral,0.0397499999999999
My mom never gave birth. Oh! But my birth mom did.,neutral,neutral,0.1023636363636363
"Everybody, this is Paolo. Paolo, I want you to meet my friends. This is Monica.",neutral,neutral,0.0236
Hi!,neutral,neutral,0.593
You betcha!,joy,positive,0.2965
"Okay, where in the hell did you get that?!",surprise,negative,0.1381111111111111
"No it’s not! You want it, you’re gonna have to win it!",anger,negative,0.0460833333333333
Why?,sadness,negative,0.667
Because I don't work at the Szechwan Dragon.,neutral,neutral,0.083375
"Rach, look!  Oh, hi! Where is my strong Ross Skywalker to come rescue me.  There he is.",joy,positive,0.0576315789473684
"You know what this is, this is us getting ready for the prom.",neutral,neutral,0.007
What?! You got us evicted!!,anger,negative,0.1426
Well he made Rachel cry!,disgust,negative,0.1324
Rachel always cries!,anger,negative,0.236
"Now Joey, you go down there and you suck up to him. I mean you suck like you’ve never sucked before!",neutral,neutral,0.0097142857142857
Where’d you get too? We lost you after you opened up all the presents.,neutral,neutral,0.1079285714285714
"Why, what happened?",surprise,negative,0.2376666666666667
What is the worse part?,neutral,neutral,0.0019999999999999
What’s wrong with you?,anger,negative,0.041
"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",sadness,negative,0.0113448275862069
Why did I have to start working out again?,disgust,negative,0.122
Damn you 15s!,anger,negative,0.1893333333333333
It’s got all of these layers.,neutral,neutral,0.0138333333333333
Are you kidding?,surprise,negative,0.0833333333333333
"Welcome everybody, welcome to Amazing Discoveries!",joy,positive,0.2651666666666667
Are you intrigued?,surprise,positive,0.1976666666666666
"Well, you might want to tell him it sounds like his wife is  gay.",neutral,neutral,0.0411999999999999
She is not…  She’s gay. Oh my God. She is,anger,negative,0.0032727272727272
I’m sorry your wife is gay. I guess women aren’t that great either.,sadness,negative,0.0446153846153846
Try telling my wife that.,sadness,negative,0.0642
I'll sneak over as soon as Ross picks up Ben.,neutral,neutral,0.1066999999999999
Arghh!!,disgust,negative,0.072
I can’t believe I’m going to lose this job!,sadness,negative,0.0673333333333333
"Hi, how are ya?",neutral,neutral,0.14825
Why should I help you?!,anger,negative,0.1143999999999999
What do you need?,neutral,neutral,0.0725
What?,surprise,negative,0.046
And I too am just a love machine.,neutral,neutral,0.04175
Phoebe! I can't believe you gave them money! I thought you agreed it was totally unreasonable that they asked me for that money!,surprise,negative,0.019391304347826
That's always fun to be.,joy,positive,0.0332
They'll see you talking to me and that's--I'm a hit!,joy,positive,0.0189999999999999
For what?,neutral,neutral,0.023
I warned you...,neutral,neutral,0.0693333333333333
Who is being loud?,anger,negative,0.075
"Uh, well yeah-yeah, I've got all of that going on.",neutral,neutral,0.1193
Uh-oh!,fear,negative,0.244
"Why, mom?",anger,negative,0.1695
Who am I gonna meet in a blackout?,anger,negative,0.093375
Eligible looters?,anger,negative,0.254
What ‘cha doing?,neutral,neutral,0.0153333333333333
What about the chick?,neutral,neutral,0.0625
Chicks don’t swim.,neutral,neutral,0.1716666666666666
I didn’t mean to scare you.,sadness,negative,0.1256666666666666
"Well, that’s just the way that goes.",neutral,neutral,0.0102857142857142
Why are there only two of you?,fear,negative,0.0095714285714285
"Why, does she have a bad personality?",neutral,neutral,0.0561428571428571
"Excellent! Excellent! And uh, finally, are you into any weird stuff y’know, sexually?",joy,positive,0.0943076923076923
"Oooh, wrong answer.",neutral,neutral,0.008
No! No!! It’s me! It’s me! I-I didn’t want to make any noise!,fear,negative,0.0684615384615384
Then why are you smoking?,disgust,negative,0.1562
"Honey, I was wondering....",neutral,neutral,0.0697499999999999
"You remember not having sex in high school, right?",sadness,negative,0.0324444444444444
We can't do that.,neutral,neutral,0.1579999999999999
What? What can't you do?,surprise,negative,0.046
She really said that?,surprise,positive,0.01925
You kissed my best Ross! ...Or something to that effect.,anger,negative,0.0053
Really stupid.,anger,negative,0.01
Really stupid.,sadness,negative,0.01
"Shh. He did it. He told her off, and not just about the kiss, about everything.",neutral,neutral,0.0473125
You're kidding.,surprise,negative,0.125
"No, no. He said ""When are you gonna grow up and start being a mom?""",neutral,neutral,0.0813999999999999
"I know, but that creep that I went on that date with goes to there so I have to find a new one.",disgust,negative,0.017695652173913
A new grocery store.,neutral,neutral,0.034
The universe said I was going to meet a nice guy and that’s what they gave me?,anger,negative,0.0519999999999999
When I get up there I’m going to kick some ass.,anger,negative,0.2063636363636363
"Don’t worry Phoebe, you’re gonna meet someone. If I can meet a great guy, so can you.",neutral,neutral,0.0315882352941176
"Oh, excuse me! I think you dropped s… Wow!",surprise,positive,0.0652222222222222
"I’m sorry, it’s just that you’re so incredibly beautiful.",surprise,positive,0.0356666666666666
"Oh yeah well, I’m sorry about that too, but what are you going to do?",neutral,neutral,0.0049333333333333
It's throwing and catching!,anger,negative,0.0735
Oh! Oh! That's so hard.,surprise,positive,0.0832
"I give up you guys, I don't know what I'm going to do with this thing!",anger,negative,0.0119999999999999
"Or not. Uh, Rach, why don’t you just move in with me?",neutral,neutral,0.0800833333333333
"No-no-no-no-no-no-no-no… It’s okay, I mean I—look Rach, I know I scared you off with that whole Naked Thursday’s thing, but we don’t have to do that!",neutral,neutral,0.0146538461538461
All right here. Watch me execute the three ‘P’s of championship play. Power.  Precision.  and penache.,neutral,neutral,0.0289444444444444
You know what the Celtics problem is? They let the players run the team.,neutral,neutral,0.0529285714285714
Who? Me the attacker?,surprise,negative,0.239
"I’m sorry Chandler, y’know you are such a sweet guy and I, I don’t want to hurt you.",sadness,negative,0.0077222222222222
"Oh, I wish there was something I can do to make you feel better.",sadness,negative,0.0012142857142857
"Well, it just hurts so bad. I uh",sadness,negative,0.031875
What?! Anything! Anything!,joy,positive,0.0153333333333333
Absolutely! But you-you would really feel better about me rejecting you if your actor friend can audition for my movie?,surprise,positive,0.0148499999999999
I did.  But it came at a price.,neutral,neutral,0.039
"I mean you can buy old arcade games like uh, like",neutral,neutral,0.0201818181818181
"Okay so you mean no as in, ""Gee Chandler, what an interesting idea. Let’s discuss it before we reject it completely.""",joy,positive,0.013095238095238
Which is why,neutral,neutral,0.2223333333333333
Are you mocking me?,anger,negative,0.1275
"No, I’m not mocking you,  or you beautiful guest room.",neutral,neutral,0.0258181818181818
Yes! You are so smart!  I love you.,joy,positive,0.0747777777777777
I love you too.,joy,positive,0.0835
Why?,surprise,negative,0.667
This is so great! Now we can enter into doubles tournaments!,joy,positive,0.0435454545454545
"No! No-no! He is totally incompetent. I called the chef who recommended him to me. He said, ""Ha-ha! Gotcha!""",disgust,negative,0.0006315789473684
Why not?!,anger,negative,0.3335
Just don’t pick up your phone.,neutral,neutral,0.068
What? So now I’m not allowed to fire him?,surprise,negative,0.0233333333333333
"You can’t fire him and dump him the same day, he’ll kill himself.",sadness,negative,0.0452307692307692
"Are you kidding?! Another week with that sip, I’ll kill",disgust,negative,0.0216
Okay. But the question is who’s gonna go first. ‘Cause whoever goes second is the bitch.,sadness,negative,0.0246875
This is the final boarding call for Flight 664 to Yemen.,neutral,neutral,0.0425454545454545
"Well, just until we find an energy source to replace fuel.",neutral,neutral,0.0409090909090909
"I had to have one last kiss, and also-also you said that you were going to leave right after I got on the plane!",sadness,negative,0.0004999999999999
No! No! I wanna see you take-off.,neutral,neutral,0.0168571428571428
"Well, I then guess I’m going to Yemen! I’m going to Yemen!  When we get to Yemen, can I stay with you?",joy,positive,0.0416521739130434
"Hey—Ooh, how’s Hilda? Is she working out?",neutral,neutral,0.0242857142857142
Was she happy you gave her the job?,neutral,neutral,0.142
"Oh, my-my new assistant was very happy that I hired my new assistant.",neutral,neutral,0.039076923076923
Hello?,neutral,neutral,0.034
"Hey, funny you should call.",joy,positive,0.0462
Why would they do that?! It was a good show right?!,surprise,negative,0.0255454545454545
It’s so secluded up here.,neutral,neutral,0.0644
"No-no! Big bear! Big bear outside! I think I-I—would you—actually, would you go check on that?",fear,negative,0.0086875
"Honey, we don’t have any bears here.",neutral,neutral,0.0281428571428571
What are,neutral,neutral,0.023
I came with Paul!,anger,negative,0.004
Get up!,anger,negative,0.49
What the hell was that?!,anger,negative,0.131
A lesson in the importance of unagi.,neutral,neutral,0.0448571428571428
"All right, so we weren’t",neutral,neutral,0.0242
Brenda a bee!,fear,negative,0.0059999999999999
I think I know what’s going on here.,disgust,negative,0.0307499999999999
You do?,neutral,neutral,0.048
"No, no, no. What was that?",surprise,negative,0.0066666666666666
Show 'em how it's done.,neutral,neutral,0.0244
So what did he decide? Does your Uncle Nathan get an invite or not?,neutral,neutral,0.0337857142857142
"Ohh, God, nobody likes him, and he’s so cheap, he’d never fly to London in a million years.",disgust,negative,0.0134999999999999
Sure. Why not?,neutral,neutral,0.069
"Wait-wait-wait, do you, do you think, maybe we shouldn’t invite her?",fear,negative,0.0701818181818181
"Oh, no-no, y’know I absolutely adore Rachel it’s just that, well it might be a awkward for you.",sadness,negative,0.0106666666666666
But it’s absolutely your decision.,neutral,neutral,0.0113999999999999
"Oh, everything went great.",joy,positive,0.218
Remoray. It’s Portuguese. We need that information. I’m a doctor.,neutral,neutral,0.0026999999999999
A doctor at this hospital?,surprise,negative,0.0272
Damnit woman we’re losing precious time! Now do you want this man’s blood on your head?,anger,negative,0.028625
Rachel was just helping me out. My head got all sunburned.,neutral,neutral,0.048
Thanks a million.,joy,positive,0.0793333333333333
"Oh, you’re welcome a million.",joy,positive,0.0808
Oh my God.,surprise,positive,0.0119999999999999
Whoa! What?! Why?!,surprise,negative,0.2023333333333333
What happened?,surprise,negative,0.023
"He’s not gonna make it, he’s stuck in Chicago.",sadness,negative,0.057
Will you call him?,neutral,neutral,0.0175
Yes!,joy,positive,0.125
Absolutely!,joy,positive,0.037
What do you got there?,neutral,neutral,0.1618
"Oh!  Sorry. Uh, I’ve got those plans with Phoebe, why?",neutral,neutral,0.1034545454545454
That’s what Monica said.,neutral,neutral,0.0115
After she gave me that big speech?!,surprise,negative,0.1228571428571428
I think she’s trying to pull a fast one on Big Daddy!,anger,negative,0.0086666666666666
Who cares? I repel women.,disgust,negative,0.1125999999999999
No-no-no-no-no-no-no-no!!! You can't come in here! R-r-r-r-Ross is naked.,surprise,negative,0.0388888888888888
"Yeah well, I’m-I’m a slut.",sadness,negative,0.0078
Hi Jill!,joy,positive,0.2965
Hi .,neutral,neutral,0.2965
"Y'know, like-like write a play.",neutral,neutral,0.0462
Or that.,neutral,neutral,0.0385
"Although, I should probably tell you, she’s a porn star.",neutral,neutral,0.0290999999999999
"As bad as that went, I actually enjoyed myself. I think that I’m going to apologize for all of the stupid things I do.",neutral,neutral,0.0350833333333333
Are you gonna break up with me if I get fat again?,fear,negative,0.0699166666666666
"Yes, yes it is. It’s uh…  Every time on the lips! Why?! Why on lips?!",anger,negative,0.016875
That bitch!,anger,negative,0.2784999999999999
Monica! What,surprise,negative,0.023
Am I doing here? Why? Surprised to see me? Ross brought me. How do you like that?!,anger,negative,0.0457647058823529
"Hi Frannie, congratulations.",neutral,neutral,0.3676666666666666
Why?!,surprise,negative,0.667
What—Why wouldn’t you want me at your wedding?,anger,negative,0.1109999999999999
"Gary, I'm here to report a crime.",neutral,neutral,0.1105714285714285
It is a crime that you and I don't spend more time together.,neutral,neutral,0.0376153846153846
What's up?,neutral,neutral,0.396
"Uh, are you crazy? Are you insane? If you live with Phoebe, you two are gonna be y'know, live-living together!",surprise,positive,0.03515
You mean scared.,neutral,neutral,0.1966666666666666
"No, I mean happy.",neutral,neutral,0.1009999999999999
"Oh thanks, but listen, I was just at Monica’s and she and Chandler had a big fight and they’re not moving in.",sadness,negative,0.0397727272727272
"No-no, they just had a big blowout over what to do with my room.",neutral,neutral,0.0360714285714285
"Yeah, I feel kinda bad for them, but I’m also really psyched ‘cause I don’t have to move in here!",joy,positive,0.0103999999999999
"Oh no, yeah no, that part’s great!",joy,positive,0.0127142857142857
Shut-out!!,surprise,negative,0.667
"Where are you guys going? Come on, one more game!",surprise,negative,0.0139999999999999
"I'm going,  and I'm gone.",neutral,neutral,0.0279999999999999
One more game?,neutral,neutral,0.0533333333333333
Where there is no fear of commitment.,neutral,neutral,0.1571428571428571
Do we have any... Do we have any thoughts here?,neutral,neutral,0.0346
If you're afraid of bugs.....get a bug.,neutral,neutral,0.0502857142857142
"Amazingly, that makes sense.",joy,positive,0.0702499999999999
Hi! Look! I got our pictures developed from Rockefeller Center.,joy,positive,0.0059999999999999
"Oh great! Hey-hey Joey, do you want to check out pictures of me and Mona ice skating?",joy,positive,0.0099999999999999
"Oh, I gotta get to work. So call me later?",neutral,neutral,0.03
You want me to just quit my job so that you can feel like you’ve got a girlfriend?,anger,negative,0.0768888888888888
Oh my God.,surprise,negative,0.0119999999999999
Oh? Why not?,neutral,neutral,0.2223333333333333
It’s the semi-finals…of her…botchy ball tournament.,neutral,neutral,0.0556666666666666
"What’s going on Bing? Does uh, your wife have a problem with me or something?",anger,negative,0.0408
Well now-now you’re just talking crazy.,joy,positive,0.0711666666666666
Because uh…we-we…we split up. Monica and I split up. Hold me.,sadness,negative,0.1373636363636363
"And the way she looked at me, pure lust.",joy,positive,0.0055555555555555
"Bing my boy, we’re gonna get you over this.",neutral,neutral,0.0886666666666666
"Now here’s the plan, grab your coat, we’re going to a strip club.",joy,positive,0.0603076923076923
"Oh no-no-no, Monica would freak.  But to hell with that bitch.",anger,negative,0.1394999999999999
"Oh, oh thanks. Alright well, now that I'm up I'm going to go    to the bathroom.",neutral,neutral,0.0163157894736842
Did he call?,neutral,neutral,0.307
Why?! Why?! He said he’d call. Why hasn’t he called?,sadness,negative,0.2254999999999999
"Maybe he’s intimated by really smart, strong, successful women.",neutral,neutral,0.1968888888888889
"Sophie, would you please climb out of my butt. Why hasn’t he called, Rachel? Why?",anger,negative,0.1109333333333333
Awkward? Why should he feel awkward?,surprise,negative,0.239
"The only person that should feel awkward is you, and you didn’t tell him not to call me, did you?",anger,negative,0.04455
"Because if you feel uncomfortable with your friend dating someone you work for, there are always ways to fix...that.",anger,negative,0.0111052631578947
And you’re upset because you didn’t make your best friend cry?,sadness,negative,0.0086363636363636
I mean do we not have as much fun?!,anger,negative,0.1012222222222222
Don’t I deserve a few tears?!!,sadness,negative,0.0351666666666666
I did not cry my eyes out!!,anger,negative,0.0684285714285714
Do I know why we’re rushing?,neutral,neutral,0.1878333333333333
That’s so great for you guys!,joy,positive,0.0106666666666666
"Good luck, with your girlfriend.",neutral,neutral,0.0484
"Hi. Ohhh, you got my message.",neutral,neutral,0.1543333333333333
Do,neutral,neutral,0.096
DO YOU?,anger,negative,0.048
Y’know I don’t understand why they didn’t cry. It was a beautiful speech.,sadness,negative,0.0363076923076923
And that picture of Chi-Chi with her mischievous grin.,neutral,neutral,0.049
"Oh good God, Ross! How the hell do you do it?",surprise,negative,0.027
"Oh, you guys, with this joke. I gotta say, I know I cracked up, but I’m not even sure I got it.",neutral,neutral,0.0024090909090909
You are not allowed to laugh at my joke.,anger,negative,0.0242222222222222
"Your joke? Well, I think ‘the Hef’ would disagree, which is why he sent me a check for one hundred ah-dollars.",neutral,neutral,0.0099523809523809
I can’t believe we’re living here!,sadness,negative,0.0303333333333333
"No! She had the ring on, she seemed so excited, and then she  took her breast out.",anger,negative,0.0342222222222222
"Joey, you have to tell her what’s going on! And what did it  look like?!",surprise,negative,0.0113125
"Look, it’s not that easy. She said she wanted to marry me. I  don’t want to hurt her.",sadness,negative,0.0359473684210526
"Oh-oh-oh, symbolism! And uh, the-the uh, wildness of the mores, which",joy,positive,0.0096363636363636
Excellent! What Rachel has shrewdly observed here,joy,positive,0.0048571428571428
You completely stole my answer!,anger,negative,0.0012
Are you just repeating what I'm saying?,anger,negative,0.0965714285714285
"Uh, okay, and then you buzz Ross and I.",neutral,neutral,0.0075555555555555
Diverse.,neutral,neutral,0.038
Did anybody call for security?,neutral,neutral,0.0645999999999999
The Hardy boys?,anger,negative,0.2436666666666666
"Look, I don’t need to steal some stupid ring, all right?",anger,negative,0.0269090909090909
Marry me.,neutral,neutral,0.265
Oh my God! Joey!,surprise,negative,0.009
Hell yeah! I’ll marry you!,joy,positive,0.1654
You can’t marry him!,anger,negative,0.1325
Why?! Why can’t she marry me?!,surprise,negative,0.3106666666666667
She’s not pregnant. It’s Rachel. Rachel’s the one who’s pregnant.,neutral,neutral,0.0676
We don’t know.,neutral,neutral,0.0463333333333333
Ohh… I wonder if that dude.,neutral,neutral,0.0551666666666666
People have got to finish their stories!,anger,negative,0.02
Why do you want to see my hand?,neutral,neutral,0.0266249999999999
"Eww! Oh, it’s all dirty. You should throw this out.",disgust,negative,0.0423
I mean you were just… You’re so incredible!,sadness,negative,0.06575
You went through all this time and effort to make this tape for me!,sadness,negative,0.0107857142857142
"Y’know I’m just gonna—I, I am gonna make this up to you!",joy,positive,0.10825
I-I am going to,neutral,neutral,0.177
Hello.,neutral,neutral,0.034
Hi! It’s me.,sadness,negative,0.1976666666666666
"Hi! Oh, I’m so glad you called.",joy,positive,0.159
"Hey, what do you want to drink?",neutral,neutral,0.0462857142857142
Who’s that?,surprise,negative,0.0385
Yeah! Got it!,anger,negative,0.0223333333333333
