Utterance,Emotion,Sentiment,Arousal
"Ohh, well. Y'know we were always together, in fact the had a nickname for the three of us.",neutral,neutral,-0.0722222222222222
"Oh, what? What was it?",surprise,positive,-0.0545999999999999
The three losers.,sadness,negative,-0.1766666666666666
"Oh, poor Lily.",sadness,negative,-0.2646666666666666
"Ohh, y'know I-I heard about what happened, that must have been just terrible for you, losing your mother that way.",sadness,negative,-0.0486
"Yeah, no, it was great.",joy,positive,-0.0705999999999999
Go back in time and listen to Phoebe!,anger,negative,-0.1395
"Alright here’s something, it says to try holding the baby  close to your body and then swing her rapidly from side to side.",neutral,neutral,-0.0317083333333333
Ok.,neutral,neutral,0.0
It worked!,surprise,positive,-0.141
Oh  oh no just stopped to throw up a little bit.,sadness,negative,-0.0606666666666666
"Oh come on, what am I gonna do, its been hours and it  won’t stop crying.",sadness,negative,-0.0566470588235294
"Umm, she Rach, not it, she.",neutral,neutral,-0.1083333333333333
"Yeah, I’m not so sure.",neutral,neutral,-0.1556
"Yeah, no kidding, this just proves no good can come from  having sex with Ross!",anger,negative,-0.024125
"Well, you’re not.",neutral,neutral,-0.0863333333333333
"Yeah I can!  And don’t think I don’t, because I do! I mean all the time, you betcha!",joy,positive,-0.0372631578947368
"Monica. You’ve, you’ve done it right?",surprise,positive,-0.1193333333333333
"Of course I have! What do you think, I’m some 30 year old virgin?",anger,negative,-0.0607142857142857
Oh my God! You’re a 30 year old virgin!,surprise,negative,-0.0588888888888888
"Say it louder, I don’t think the guy all the way in the back heard you!",disgust,negative,-0.1144999999999999
"I mean, y’know, I’m just waiting for the perfect guy.",neutral,neutral,-0.0712
"I’m seeing this guy Roger, all right?",neutral,neutral,-0.0327142857142857
"He’s not perfect, but umm, I think maybe I should just get it over with.",neutral,neutral,-0.0444666666666666
"Y’know, give him my flower.",neutral,neutral,-0.186
"Oh my God!! Do it!! Honey, you’ve waited",surprise,negative,-0.036
Y’know what? You are right?!,surprise,positive,-0.05
There shouldn’t be all this rules and restrictions!,anger,negative,-0.06075
"Y’know, people should be able to sleep with who ever they want, whenever",neutral,neutral,-0.1169999999999999
Oh what do you know? Virgin!,anger,negative,-0.045
We're here!,joy,positive,0.0
Where have you been?,neutral,neutral,-0.2314999999999999
"Long story, honey.",neutral,neutral,-0.2066666666666666
"All right, Carol, I need you to keep pushing. I need— Excuse me, could I have this?",neutral,neutral,-0.0385882352941176
Behind my brother's back?  ... is exactly the kind of crazy thing you won't be hearing from me.,anger,negative,-0.1128421052631579
A little birdie told me something about you wanting to rip your arm off and throw it at me.,anger,negative,-0.0578947368421052
"All right, fine, fine, fine, fine, fine, we've got to do something about our little situation here Joey.",anger,negative,-0.1688333333333333
"So, this is my idea: you and me spending some quality time together.",neutral,neutral,-0.0435384615384615
For Chandler!,anger,negative,-0.048
I was wondering if you would consider coaching me for it?,neutral,neutral,-0.0277272727272727
You bet! What’s the part?,joy,positive,-0.0095999999999999
"Oh it’s great, it’s a role on",joy,positive,-0.0214285714285714
I thought he was with you.,neutral,neutral,-0.0755
"He-he was with me umm, we’re playing a little game, y’know? Hide and seek.",neutral,neutral,-0.0502142857142857
"You can’t ask us son, that’s cheating.",neutral,neutral,-0.0557142857142857
"You’re right, thanks for keeping me honest dad.",neutral,neutral,-0.1825
"Well, he better not come by here. He can’t see the bride in the wedding dress.",neutral,neutral,-0.0305625
"Honey, it isn’t good luck.",neutral,neutral,-0.1407999999999999
"I know! Hey, how’s Chandler doin’?",neutral,neutral,-0.0966666666666666
Yeah baby!,joy,positive,-0.294
"I’m really glad you guys are okay but, I just keep thinking what would happen if-if you two  actually had hooked up.",neutral,neutral,-0.0051304347826086
"Oh yeah, that was great. Thanks to you, the hottest cocktail waitress there is quitting to teach the third grade!",anger,negative,-0.0144999999999999
I can’t believe it! He still hasn’t called.,anger,negative,-0.19275
"Who, Josh?",surprise,negative,0.0
It’s Joshua.,anger,negative,0.0
"What, he doesn’t like Josh?",surprise,negative,-0.0496
"No, I don’t.",disgust,negative,0.0
"All right, well I’m gonna put my sweats back on.",neutral,neutral,-0.0227999999999999
Oh no!,surprise,negative,0.0
Wait!,surprise,negative,-0.666
"Okay, y’know what, you were right, you were right.",sadness,negative,-0.0944444444444444
"Thank you, thanks.",joy,positive,-0.1166666666666666
"Yeah, I lost it.",sadness,negative,-0.0684999999999999
"After that? Yeah! No, I mean if I can help.",surprise,positive,-0.0645
"Yeah, like I could",neutral,neutral,-0.2485
"Okay, so you were trying to play bad this whole time.",surprise,positive,-0.0279090909090909
"Yeah—no, just that last song.",neutral,neutral,-0.1142
"Oh, I was thinking about having people over for the game.",neutral,neutral,-0.0049090909090909
"Oh yeah, who’s playing?",neutral,neutral,-0.0795
Somebody seems to be missing being the hostess.,neutral,neutral,-0.08225
"Please, it’s a relief is what it is, is what it is.",neutral,neutral,-0.0983333333333333
"All right Pheebs, stick out your plate!",neutral,neutral,-0.154
Whose is it?,neutral,neutral,-0.1326666666666666
I don’t want to say.,neutral,neutral,-0.0192
"Oh, come on! I don’t care! Come on! Whose is it?",joy,positive,-0.1438181818181818
Diane Keaton.,neutral,neutral,0.0
Phoebe! Come on! Let’s go!  Come on!  Why aren’t you dressed yet?!,anger,negative,-0.0267857142857142
Really?!,surprise,positive,0.0
Thanks Mon!,joy,positive,-0.028
"Oh but Mon, if you touch my guitar again I’ll have to pound on you for a little bit.",anger,negative,-0.0849473684210526
"Fair enough, now go get ready!",neutral,neutral,-0.0623333333333333
"I’ll get everybody else , finally we can start celebrating my— I’m sorry, uh apparently I’ve opened the door to the past.",neutral,neutral,-0.0269545454545454
"My best shoes, so good to me.",joy,positive,-0.0965714285714285
I wear them everyday.,joy,positive,-0.119
"Down at the heel, holes in the toes.",joy,positive,-0.19725
Don’t care what people say.,joy,positive,-0.1588
"My feet’s best friends, pals to the end.",joy,positive,-0.0571249999999999
"Though late one night, not much light, I....",neutral,neutral,-0.1584999999999999
"Sticky shoes, sticky shoes, always make me smile. Sticky shoes, sticky shoes, next time I’ll.... avoid the..... pillleeeee.",joy,positive,-0.0842222222222222
"God, it’s gonna so weird like when I come home and you’re not here.",sadness,negative,-0.0137857142857142
No more Joey and Chan’s.,sadness,negative,0.0
No more J and C’s.,sadness,negative,0.0
"""You wanna go over to Joey and Chandler’s?""",neutral,neutral,-0.0101249999999999
"""Can’t, its not there.""",neutral,neutral,-0.0705
"Look, I’m just gonna be across the hall, we can still do all the same stuff.",neutral,neutral,-0.0700625
Yeah but we won’t be able to like get up in the middle of the night and have those long talks about our feelings and the future.,sadness,negative,-0.0328148148148148
Hey!,neutral,neutral,-0.206
"So I, I told Rachel it was just gonna be the two of us.",neutral,neutral,-0.0765714285714285
"Oh yeah? Well, how’d she take it?",neutral,neutral,-0.1121428571428571
"Okay, if you need the vacuum, it’s in my closet on the left-hand side. Ah, the garbage bags are next to the refrigerator",neutral,neutral,-0.1259130434782608
"Okay, okay, but Rachel’s gonna be here too, can’t I just ask her this stuff?",neutral,neutral,-0.0564666666666666
"Yeah, okay, give that a try!",neutral,neutral,-0.1251666666666666
All right! Let’s do it!,joy,positive,-0.0964
"Yeah, cheerie-o!",joy,positive,-0.159
London baby!,joy,positive,-0.135
Monica? What time is it?,neutral,neutral,-0.1319999999999999
"Uhh, 9.",neutral,neutral,0.0
But it's dark out.,neutral,neutral,-0.1215
"Well that's because you always sleep to noon, silly! This is what 9 looks like.",neutral,neutral,-0.1533333333333333
I guess I'll get washed up then. Watch that sunrise.,neutral,neutral,-0.0182999999999999
I'm,neutral,neutral,0.0
"I know, me too.",neutral,neutral,-0.0695
"Yeah, I can say that I have a conference and you can say you have a chef thing.",neutral,neutral,-0.1393888888888889
"Ohh, I've always wanted to go to this culinary fair that they have in Jersey!",joy,positive,-0.0618
"Okay, y'know your not though. Let's go.",neutral,neutral,-0.0965714285714285
Wait! What about Joey?,neutral,neutral,-0.155
"Oh umm, there’s also a book here by a woman named Wendy Bagina.  What is that?",neutral,neutral,-0.0607647058823529
Sounds like two people are really enjoying the Dewey decimal system.,neutral,neutral,-0.1018181818181818
I’m so sorry!,fear,negative,-0.092
You didn’t bring,neutral,neutral,-0.0266666666666666
"Oh you know uh Kash, really liked you the other day. He said he thought you were charming.",neutral,neutral,-0.0845555555555555
Okay I-I just have to stop by my place first.,neutral,neutral,-0.0984
"To tape the game? You do this every time Ross, you’re",disgust,negative,-0.018
"No-no, I-I have to see if this apartment became available.",neutral,neutral,-0.0797
"Oh, you’re switching apartments?",surprise,negative,-0.0815
"It’s not for me, it’s for Rachel.",neutral,neutral,0.0
But Rachel has an apartment.,neutral,neutral,-0.0428
She is?,surprise,negative,0.0
I guess I didn’t really think about it.,neutral,neutral,-0.0675
Ezel!  Hey Gunther! You’re an ezel!,anger,negative,-0.0294285714285714
Damnit!,anger,negative,-0.018
Little village people.,neutral,neutral,-0.382
"Okay, look at this one. This is my favourite.",joy,positive,-0.0922222222222222
"Oh, that is so sweet!",joy,positive,-0.0174
"Huh. Except, Phoebe’s not gonna be the one that gets to dress them.",neutral,neutral,-0.0653846153846153
Oh my God! We are throwing the most depressing baby shower ever!,sadness,negative,-0.0005833333333333
Wait a minute!,surprise,positive,-0.3693333333333333
"Like-like umm, regular coffee, Tequila.",neutral,neutral,-0.1472
"Oh, and somebody can get those leather pants she’s always wanted!",joy,positive,-0.0896363636363636
Okay you two are asking the court for an annulment?,neutral,neutral,-0.0615999999999999
"Yes your honor, and here are, are forms, all filled out.",neutral,neutral,-0.0088181818181818
"Fine, I’m mentally unstable.",anger,negative,-0.068
"Well, you would know.",neutral,neutral,-0.17825
"Oh, come on!",sadness,negative,-0.154
"Ross, please, I found the magazines!",sadness,negative,-0.118
Phoebe just because I'm alone doesn’t mean I wanna walk around naked.,neutral,neutral,-0.0420833333333333
"I mean, you live alone, you don't walk around naked.",neutral,neutral,-0.0076
Uh-huh! Why do you think it takes me so long to answer the door?,joy,positive,-0.0570714285714285
"I know, I lied! I didn’t want her to think I was a terrible mother! I can’t even see my own baby!",sadness,negative,-0.024590909090909
"Oh sure, come here!  Sure you can! Uh, look come here look,  it’s-it’s-it’s, it’s right there .",neutral,neutral,-0.1423157894736842
"Oh. Oh, it’s beautiful. I see it now.",joy,positive,-0.085
"No, I don’t see it!",anger,negative,-0.1488
"Come on! Come on! Here, okay-okay, you see this?  This tiny thing that looks like a peanut?",joy,positive,-0.1947222222222222
Yeah.,neutral,neutral,-0.318
Sweetie that’s it.,joy,positive,-0.1039999999999999
"That’s it? Well I saw that! Ohh-ohh-oh, thank you.",joy,positive,-0.0751111111111111
Wow! I can’t believe that’s our baby.,surprise,positive,-0.0797142857142857
"Yeah, that’s our baby.",joy,positive,-0.147
Will you stop!,joy,positive,-0.0546666666666666
Okay. All right.,neutral,neutral,-0.1999999999999999
"Okay, all right, I think you’re great, I think you’re sweet, and you’re smart, and I love you.",joy,positive,-0.0141111111111111
But you will always be the guy who peed on me.,disgust,negative,-0.0154545454545454
Let me tell you about this chick I scored with last night! Oh no wait a minute that was you!,joy,positive,-0.07395
Oh I can’t. Dr. Roger is coming over again.,neutral,neutral,-0.0192222222222222
Oh right!,surprise,positive,-0.148
Right!,surprise,positive,-0.296
"Because you’re still seeing him and uh, he’s a good guy.",sadness,negative,-0.1201818181818181
"I mean, I remember a time when",sadness,negative,-0.0922857142857142
Are you okay?,neutral,neutral,-0.1013333333333333
"Yeah! Totally! Totally, and you?",joy,positive,-0.126
"Y’know, I don’t have an appointment, but I sure could use a physical.  Are you sure you’re okay?",neutral,neutral,-0.0991578947368421
"Oh yeah! Yeah! Don’t worry about me, I’ll be fine!",sadness,negative,-0.1124
You got the clothes clean. Now that's the important part.,neutral,neutral,-0.0800999999999999
"Oh, I guess. Except everything looks like jammies now.",neutral,neutral,-0.0868888888888888
"Oh, Chandler, look. You and Monica are meant to have children.    I am sure it's gonna be just fine.",neutral,neutral,-0.0798636363636363
"oh, oh, yeah, ok, thanks.",joy,positive,-0.0748
I can't believe    I didn't even think of that.,surprise,positive,-0.0270833333333333
"What, you can do it in the parking lot of a Taco Bell, but you    can't do it at a doctor's office?",anger,negative,-0.0721599999999999
"It was a ""Wendy's!!    """,anger,negative,-0.045625
"...and then Zana, just let one rip!!",surprise,positive,-0.0454285714285714
"Like you, I don’t even know where you work?",surprise,positive,-0.0422222222222222
"Yeah. Well, I think our second fight is going to be a",anger,negative,-0.0237499999999999
Hey.,neutral,neutral,-0.206
Yeah!,anger,negative,-0.318
"Well, I’m not going to go now anyway .",neutral,neutral,-0.0172222222222222
Okay .,neutral,neutral,-0.152
"Ah, Gunther, I can’t pay for this right now because I’m not working, so I’ve had to cut down on some luxuries like uh, payin’ for stuff.",neutral,neutral,-0.0301111111111111
"Well, if you want, you can work here.",neutral,neutral,-0.007875
"Uh, I don’t know.",neutral,neutral,-0.0695
"Ya see, it’s just, see I was a regular on a soap opera y’know?",neutral,neutral,-0.1646428571428571
"And to go from that to this, I just… Plus, I’d have to wait on all my friends.",sadness,negative,-0.0505
"Okay, but the money’s good, plus you get to stare at Rachel as much as you want.",neutral,neutral,-0.0138823529411764
Flexible hours.,neutral,neutral,-0.2749999999999999
Maybe I could be a waiter. Could I use the phone?,neutral,neutral,-0.2039090909090909
I have no name.,neutral,neutral,-0.1555
"Okay uh, for now, temporarily, you can call me, Clint.",neutral,neutral,-0.0764
No way are you cool enough to pull of Clint.,disgust,negative,-0.017
"Okay, so what name am I cool enough to pull off?",surprise,negative,-0.0343636363636363
"Umm, Gene.",neutral,neutral,-0.184
It’s Clint. It’s Clint!,anger,negative,0.0
"See you later, Gene.",neutral,neutral,-0.199
"Bye, Gene.",neutral,neutral,-0.102
It’s Clint!,anger,negative,0.0
Welcome to Las Vegas.,neutral,neutral,-0.056
Hope you had a nice flight.,neutral,neutral,-0.037
"Ohh, it was the best!",joy,positive,-0.1445999999999999
