Utterance,Emotion,Sentiment,Dominance
"Huh, what’s fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?",neutral,neutral,-0.0349999999999999
"What? My hands are totally clean, I just gave the duck a bath.",neutral,neutral,-0.0158461538461538
Bumpy?,surprise,negative,-0.162
And uh maybe you have to get used to it.,neutral,neutral,-0.0312999999999999
"Oh well, it’s not so bad.",neutral,neutral,-0.0176666666666666
Oh!,surprise,negative,0.0
Excuse me?,surprise,positive,-0.182
"Oh, it’s bad. It’s really bad. The only thing in there that isn’t burned is an ass. Which I do",sadness,negative,-0.05455
Everything’s ruined. My bed. My clothes. Look at my favorite blue sweater.,sadness,negative,-0.1121666666666666
Fine! I’m sorry for your loss!,anger,negative,-0.0931666666666666
So I’m gonna go through the hotel and see if there’s any other weddings going on.,neutral,neutral,-0.04375
Okay. Oh but don’t tell them Monica’s pregnant because they frown on that.,neutral,neutral,-0.0249230769230769
"I mean, enough of the silliness!",anger,negative,-0.107
"Well, why don’t you tell her to stop being silly!",anger,negative,-0.0922
Okay-okay!,anger,negative,0.0
That is so silly.,joy,positive,-0.1575
"Well, we are fond of the silliness, but we also have a soft spot for the love.",neutral,neutral,-3.2653618371328133e-18
Why do you do it?,neutral,neutral,-0.0283999999999999
"Yeah, I do.",neutral,neutral,-0.0166666666666666
"But I don't. Me, Phoebe.",neutral,neutral,-0.0571999999999999
"You're not? See, that's why you're so great!",surprise,positive,-0.0052499999999999
"Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me!",anger,negative,-0.0115142857142857
"Love me, I need love!",anger,negative,-0.0263999999999999
Have you really done this before?,surprise,positive,-0.009
Yeah!,joy,positive,-0.122
"Now, don’t hold back.",neutral,neutral,-0.142
Hey!,joy,positive,-0.276
Hey-hey-hey!,joy,positive,0.0
What are you doing?,neutral,neutral,0.0
Oh yeah? Well maybe you and I should take a walk through a bad neighborhood.,joy,positive,-0.0402
Okay!,joy,positive,-0.234
Bye!,neutral,neutral,-0.358
"Hey, Joey, could you pass the cheese?",neutral,neutral,-0.1874285714285714
"Yeah, people get pretty generous around the holidays. And it never hurts to wear tight trousers.",neutral,neutral,-0.0543125
Could the waiters gather around to hear tonight’s specials?,neutral,neutral,-0.0362222222222222
"Okay, first there is a Chilean Sea Bass prepared with a Mango relish on a bag—Why is nobody writing these down?",neutral,neutral,-0.0086666666666666
Hey. When you guys were kids and you played,neutral,neutral,-0.0342222222222222
I was always Joanne.,neutral,neutral,0.0
"Wait! Wait! I wanna see this. After I divorce him, half of that kingdom is gonna be mine.",joy,positive,-0.0649444444444444
What a wank!,anger,negative,-0.1526666666666666
"Oh, I cannot believe he’s using our divorce to sell mattresses.",anger,negative,-0.0125454545454545
"You had to do it, didn’t you? You couldn’t just leave it alone.",sadness,negative,-0.0293846153846153
Four percent. Okay. I tip more than that when there’s a bug in my food.,disgust,negative,-0.0334666666666666
"Ross, tonight was about the two of you getting along.  Oh, would you just see my chiropractor, already.",anger,negative,-0.0165263157894736
"Hey Pheebs, what are you doing?",neutral,neutral,-0.046
"I’m, I’m freaking out!",fear,negative,0.0
Does Monica still turn on the lights in her bedroom?,neutral,neutral,-0.0557
Um. yeah.,neutral,neutral,-0.3705
I am,neutral,neutral,0.0
"So, I’ll invite him to brunch tomorrow and you can make nice.",neutral,neutral,-0.0060833333333333
Like me tiny doctor!’,anger,negative,-0.2145
"Rachel one brunch is not gonna solve anything. You gotta face it, okay we’re never gonna get along.",anger,negative,-0.0384444444444444
"Okay, okay, okay.  I’ll get the bagels.",neutral,neutral,-0.086
"Okay now Joey, y'know that since you're returning all of this stuff right after the audition you're gonna have to wear underwear?",neutral,neutral,-0.0233181818181818
"Okay, it's missing something. Ooh, I know! Umm, okay.",neutral,neutral,-0.136
Really? A purse?,surprise,positive,-0.1293333333333333
It's not a purse! It's a shoulder bag.,anger,negative,-0.1185
It looks like a women's purse.,neutral,neutral,-0.0443333333333333
"See look,",neutral,neutral,-0.073
Maybe you need sex.,neutral,neutral,-0.14975
No! No Joey! U-N-I-sex.,joy,positive,-0.0415
"no, um, I'm sorry, don't tell me, I don't think either answer would make me feel better.",sadness,negative,-0.0468823529411764
"Yeah, it did.",joy,positive,-0.0406666666666666
"Well, y'know, you and me, it had to end sometime.",sadness,negative,-0.0482
"Why, exactly?",surprise,negative,-0.0319999999999999
Chandler that's crazy!,surprise,positive,-0.15
You are so cute!,joy,positive,-0.022
No.,joy,positive,0.0
It's nothing to freak out about.,neutral,neutral,-0.0119999999999999
I'm afraid so.,neutral,neutral,-0.1763333333333333
Hi!,joy,positive,0.0
So you like the short hair better.,neutral,neutral,-0.0497142857142857
Can I tell you a little secret?,neutral,neutral,-0.1048571428571428
"Oh, I am, my side still hurts from when you crashed into me yesterday.",neutral,neutral,-0.1073571428571428
Ow!!,anger,negative,0.0
"Hey, you guys! Guess what?",joy,positive,-0.06
"Y'know what I didn’t wear this suit for a year because you hated it. Well, guess what? You’re not my girlfriend anymore so...",anger,negative,-0.0269565217391304
"Oh I see, so this suit is making a point.",neutral,neutral,-0.0502
"Now that you’re on you’re own, you’re free to look as stupid as you like.",anger,negative,-0.0073333333333333
Yeah. Oh! Was how you invented the cotton gin?!,neutral,neutral,-0.0344444444444444
"Okay, good bye!",anger,negative,-0.1746666666666666
Hey I got one! I got one!,joy,positive,-0.1137142857142857
Oh down please.  I-I hate to be a ball buster can I just do it?,joy,positive,-0.033875
Sure! I feel so bad for you. I broke my leg once too.,sadness,negative,-0.0216923076923076
Oh yeah? How’d yours happen?,neutral,neutral,-0.004
It’s kind of embarrassing.,neutral,neutral,-0.0785
Car accident.,sadness,negative,-0.164
"Oh, let me guess some idiot on a cell phone wasn’t paying attention?",neutral,neutral,-0.0783846153846153
"Yeah. Me.  Oh hey, that’s me.  Hey uh, I take it you’re just visiting someone.",neutral,neutral,-0.0284705882352941
"Uh-huh, yeah.",neutral,neutral,-0.061
Oh yeah! I-I would like that.,joy,positive,-0.0626666666666666
Wait! What?! No!! Elevator!! No!,anger,negative,-0.024
"Uh, you gotta press the button.",neutral,neutral,-0.0553333333333333
"Oh dude, don't worry about it, I found an unattended maid's car.    We're way ahead of the game.",neutral,neutral,-0.0663809523809523
What?,surprise,positive,0.0
There's something new in the bowl.,surprise,positive,-0.0199999999999999
"No, but I want...I want the pinecones!",joy,positive,-0.009
It's not the same.,neutral,neutral,-0.017
"Oh, my maple candy!",joy,positive,-0.1385
Ross's what?,surprise,positive,0.0
"Whoops.  Oh, hey, do you need help with that?",neutral,neutral,-0.0997999999999999
"Take it easy--if you want, there’s cookies on the counter, or, or--sangria!  I can make sangria!",joy,positive,-0.0030588235294117
"No-no, sorry. Cookies are good, thanks.",neutral,neutral,-0.1589999999999999
"Well, so, umm, anyway umm, I’ve been, I’ve been looking for my Father, and umm, have you heard from him, or seen him?",neutral,neutral,-0.017391304347826
"Oh no, I-I’m sorry, I guess we lost track of everybody after high school.",sadness,negative,-0.0387857142857142
"Oh, what? What was it?",surprise,positive,0.0
The three losers.,sadness,negative,-0.312
"Oh, poor Lily.",sadness,negative,-0.4476666666666666
Go back in time and listen to Phoebe!,anger,negative,-0.0415
Ok.,neutral,neutral,0.0
It worked!,surprise,positive,0.0
Oh  oh no just stopped to throw up a little bit.,sadness,negative,-0.0179166666666666
"Oh come on, what am I gonna do, its been hours and it  won’t stop crying.",sadness,negative,-0.0448235294117647
"Umm, she Rach, not it, she.",neutral,neutral,-0.0699999999999999
"Say it louder, I don’t think the guy all the way in the back heard you!",disgust,negative,-0.0035625
"Y’know, give him my flower.",neutral,neutral,-0.091
Behind my brother's back?  ... is exactly the kind of crazy thing you won't be hearing from me.,anger,negative,-0.0418947368421052
"So, I hear, you hate me!",anger,negative,-0.042
"I, ah, I never said hate, I was very careful about that.",neutral,neutral,-0.0314166666666666
A little birdie told me something about you wanting to rip your arm off and throw it at me.,anger,negative,-0.0287368421052631
But what does that gonna do...,anger,negative,-0.055
For Chandler!,anger,negative,-0.0249999999999999
I was wondering if you would consider coaching me for it?,neutral,neutral,-0.0253636363636363
You bet! What’s the part?,joy,positive,-0.0832
"Hi!  Hi!  Hi. Has umm, anyone seen Chandler?",neutral,neutral,-0.0646
"He-he was with me umm, we’re playing a little game, y’know? Hide and seek.",neutral,neutral,-0.141
Yeah baby!,joy,positive,-0.106
"Who, Josh?",surprise,negative,0.0
It’s Joshua.,anger,negative,0.0
"No, I don’t.",disgust,negative,0.0
Oh no!,surprise,negative,0.0
Wait!,surprise,negative,-0.472
Because we’re girls.,neutral,neutral,-0.1233333333333333
"Thank you, thanks.",joy,positive,-0.0086666666666666
"Yeah, I lost it.",sadness,negative,-0.1755
"Y’know, I’m not gonna play anymore,  would you, can you finish my set?",neutral,neutral,-0.0322857142857142
"After that? Yeah! No, I mean if I can help.",surprise,positive,-0.032
"Yeah, like I could",neutral,neutral,-0.138
"Okay, so you were trying to play bad this whole time.",surprise,positive,-0.0334545454545454
"Oh yeah, who’s playing?",neutral,neutral,-0.0305
Somebody seems to be missing being the hostess.,neutral,neutral,-0.03425
Whose is it?,neutral,neutral,-0.016
Diane Keaton.,neutral,neutral,0.0
Phoebe! Come on! Let’s go!  Come on!  Why aren’t you dressed yet?!,anger,negative,-0.0038571428571428
Really?!,surprise,positive,0.0
Thanks Mon!,joy,positive,-0.039
"Oh but Mon, if you touch my guitar again I’ll have to pound on you for a little bit.",anger,negative,-0.0565263157894736
"My best shoes, so good to me.",joy,positive,-0.0085714285714285
I wear them everyday.,joy,positive,-0.1295
"Down at the heel, holes in the toes.",joy,positive,-0.182
Don’t care what people say.,joy,positive,-0.0072
With them I’m one hot chicky.,joy,positive,-0.019
"Though late one night, not much light, I....",neutral,neutral,-0.09275
I stepped in something icky.,joy,positive,-0.052
"Sticky shoes, sticky shoes, always make me smile. Sticky shoes, sticky shoes, next time I’ll.... avoid the..... pillleeeee.",joy,positive,-0.2137777777777778
"""Can’t, its not there.""",neutral,neutral,0.0
Hey!,neutral,neutral,-0.276
"Oh yeah? Well, how’d she take it?",neutral,neutral,-0.0397142857142857
"Really well. Yeah. Surprisingly well. Yeah, she didn’t cry. She wasn’t angry or sad.",neutral,neutral,-0.0209999999999999
"Okay, if you need the vacuum, it’s in my closet on the left-hand side. Ah, the garbage bags are next to the refrigerator",neutral,neutral,-0.146695652173913
"Okay, okay, but Rachel’s gonna be here too, can’t I just ask her this stuff?",neutral,neutral,-0.0215333333333333
"Yeah, okay, give that a try!",neutral,neutral,-0.0406666666666666
Woo-hoo!!,joy,positive,-0.098
"Yeah, cheerie-o!",joy,positive,-0.061
London baby!,joy,positive,-0.045
"Uhh, 9.",neutral,neutral,0.0
But it's dark out.,neutral,neutral,-0.037
"Well that's because you always sleep to noon, silly! This is what 9 looks like.",neutral,neutral,-0.0404
I'm,neutral,neutral,0.0
"Yeah, I can say that I have a conference and you can say you have a chef thing.",neutral,neutral,-0.0074444444444444
"Ohh, I've always wanted to go to this culinary fair that they have in Jersey!",joy,positive,-0.002
"Okay, y'know your not though. Let's go.",neutral,neutral,-0.0675714285714285
Wait! What about Joey?,neutral,neutral,-0.118
I’m so sorry!,fear,negative,-0.1919999999999999
You didn’t bring,neutral,neutral,-0.0253333333333333
"To tape the game? You do this every time Ross, you’re",disgust,negative,-0.0196363636363636
"Oh, you’re switching apartments?",surprise,negative,-0.0285
"Yeah, you didn’t expect her to live there with a baby did you?",surprise,negative,-0.0081538461538461
Ezel!  Hey Gunther! You’re an ezel!,anger,negative,-0.0394285714285714
Damnit!,anger,negative,-0.068
Little village people.,neutral,neutral,-0.3006666666666666
"Oh, that is so sweet!",joy,positive,-0.0376
"Huh. Except, Phoebe’s not gonna be the one that gets to dress them.",neutral,neutral,-0.0473846153846153
Because she’s not gonna get to keep the babies.,sadness,negative,-0.0058888888888888
Wait a minute!,surprise,positive,-0.2533333333333333
"Unless, we give her all gifts she can use after she’s done being pregnant.",joy,positive,-0.0147857142857142
"Like-like umm, regular coffee, Tequila.",neutral,neutral,-0.1227999999999999
"Oh, and somebody can get those leather pants she’s always wanted!",joy,positive,-0.0627272727272727
"Fine, I’m mentally unstable.",anger,negative,-0.1119999999999999
What?!,surprise,negative,0.0
Crack isn’t even an intravenous drug!,anger,negative,-0.063
"Ross, please, I found the magazines!",sadness,negative,-0.0679999999999999
Phoebe just because I'm alone doesn’t mean I wanna walk around naked.,neutral,neutral,-0.0301666666666666
"I mean, you live alone, you don't walk around naked.",neutral,neutral,-0.082
Uh-huh! Why do you think it takes me so long to answer the door?,joy,positive,-0.0022857142857142
"Oh. Oh, it’s beautiful. I see it now.",joy,positive,-0.006
"No, I don’t see it!",anger,negative,-0.0752
"Come on! Come on! Here, okay-okay, you see this?  This tiny thing that looks like a peanut?",joy,positive,-0.0836111111111111
Yeah.,neutral,neutral,-0.122
"Yeah, that’s our baby.",joy,positive,-0.053
Let me tell you about this chick I scored with last night! Oh no wait a minute that was you!,joy,positive,-0.08195
"Hey, check me out, I’m a slut!",joy,positive,-0.0648571428571428
"Because you’re still seeing him and uh, he’s a good guy.",sadness,negative,-0.0032727272727272
Are you okay?,neutral,neutral,-0.078
"Oh yeah! Yeah! Don’t worry about me, I’ll be fine!",sadness,negative,-0.0308
"Whoa, I'm sorry. Excuse me. We had this cart.",anger,negative,-0.1107777777777777
"oh, oh, yeah, ok, thanks.",joy,positive,-0.04
"What, you can do it in the parking lot of a Taco Bell, but you    can't do it at a doctor's office?",anger,negative,-0.0175999999999999
"It was a ""Wendy's!!    """,anger,negative,0.0
"...and then Zana, just let one rip!!",surprise,positive,-0.0628571428571428
Hey.,neutral,neutral,-0.276
"So, you stole my joke, and you stole my money.",anger,negative,-0.0177999999999999
"Oh, what are you going to do, follow me down there?",anger,negative,-0.0181818181818181
Yeah!,anger,negative,-0.122
"Well, I’m not going to go now anyway .",neutral,neutral,-0.0044444444444444
Okay .,neutral,neutral,-0.117
"Ya see, it’s just, see I was a regular on a soap opera y’know?",neutral,neutral,-0.0334285714285714
Flexible hours.,neutral,neutral,-0.199
Maybe I could be a waiter. Could I use the phone?,neutral,neutral,-0.1544545454545454
"Okay uh, for now, temporarily, you can call me, Clint.",neutral,neutral,-0.039
"Okay, so what name am I cool enough to pull off?",surprise,negative,-0.0248181818181818
"Umm, Gene.",neutral,neutral,-0.21
It’s Clint. It’s Clint!,anger,negative,0.0
"See you later, Gene.",neutral,neutral,-0.1805
"Bye, Gene.",neutral,neutral,-0.179
It’s Clint!,anger,negative,0.0
"Oh, Larry.",neutral,neutral,0.0
"No, bribes.",neutral,neutral,-0.028
"Rach, I told you everything I knew last night!",anger,negative,-0.0931111111111111
I can't believe you would say that!,sadness,negative,-0.0534285714285714
Sorry. Monica and Chandler are making love.,neutral,neutral,-0.0619999999999999
"Ohh, I know one thing!",joy,positive,-0.1164
What?,joy,positive,0.0
"Excuse me, look, we've been here for over an hour, and a lot of people less sick than my friend have gone in.",anger,negative,-0.072
"I mean, that guy with the toe thing?",anger,negative,-0.07025
"Oh, c'mon Dora, don't be mad...",neutral,neutral,-0.174
"Y'know, I feel like I've lost her..  Ba-!",joy,positive,-0.0551111111111111
Thanx.,neutral,neutral,0.0
No ... the leather sticks to my ass.,disgust,negative,-0.06925
Huh?,anger,negative,-0.482
"Hey! Guys, this is Tabatha .  I'll see you tomorrow.",neutral,neutral,-0.118
"Oh that’s great! Okay, well I’ve heard everything I need to hear. I just need to uh, Leslie",surprise,positive,-0.0213333333333333
"Joey, this is the awkward part.",joy,positive,-0.086
Oh!,surprise,positive,0.0
Not a problem.,neutral,neutral,-0.0566666666666666
You need to y’know make sure I don’t have any horrible scars or tattoos.,neutral,neutral,-0.0162857142857142
Don’t you worry. I have nothing to hide.,neutral,neutral,-0.1055
"So there you go, that’s me.",neutral,neutral,-0.0186666666666666
One hundred percent natural!,joy,positive,-0.17875
"I tell ya, that has never happened before.",fear,negative,-0.0825
Okay wait!,anger,negative,-0.353
You listen to me!,anger,negative,-0.0275
"Since I have been waiting four women, that’s four, one higher than the number of centimeters that I am dilated, have come and gone with their babies!",anger,negative,-0.056074074074074
I’m next!,anger,negative,-0.054
It’s my turn!,anger,negative,-0.0119999999999999
And if you bring in one woman and she has her baby before me I’m going to sue you!,anger,negative,-0.0162105263157894
Uh Rach,neutral,neutral,0.0
Go get back on that case honey!,anger,negative,-0.0211428571428571
I don’t think the next patient is very far along.,neutral,neutral,-0.0303
"Okay, well then bring her in.",neutral,neutral,-0.035
OH….MY….GAWD!!!,surprise,positive,0.0
Whoa!  I kinda liked it.,joy,positive,-0.0763333333333333
"Okay, I know what I have to do. I’ve got to go Red Ross.  Y’know, Red Ross!",anger,negative,-0.0095555555555555
Y'know you guys were a lot more supportive when I wanted to make denim furniture.,joy,positive,-0.0004
"Yeah, honey, maybe you can talk to somebody who’s had a baby. Like your mom?",neutral,neutral,-0.0236
"Umm, thank you for meeting with me.",neutral,neutral,-0.0142857142857142
"Come, sit.",neutral,neutral,-0.074
Sit.,neutral,neutral,-0.264
Sit!,anger,negative,-0.264
Hi!,neutral,neutral,0.0
And Joey....,neutral,neutral,0.0
And Ross.,neutral,neutral,0.0
"So, um... where did Paolo come from?",neutral,neutral,-0.0718571428571428
"Well, the cat... the cat turned out to be Paolo's cat!",neutral,neutral,-0.0325454545454545
Ah! Well! There you go! Last to know again! And I'm guessing... since nobody told me... this is Paolo.,joy,positive,-0.0228421052631579
That cup is mine!,anger,negative,-0.0835
Why?,sadness,negative,-0.286
"You really, really need to get some sleep, honey.",neutral,neutral,-0.0586666666666666
Guess what?,neutral,neutral,-0.058
They published my paper.,joy,positive,-0.0684999999999999
"Oh, really, let me see, let me see.",joy,positive,-0.1905
I told you not to go down there!,anger,negative,-0.07725
Rachel always cries!,anger,negative,-0.2223333333333333
"Now Joey, you go down there and you suck up to him. I mean you suck like you’ve never sucked before!",neutral,neutral,-0.0425238095238095
Go!!,anger,negative,-0.112
"Yeah, I ended up in the storage room, and not alone.",neutral,neutral,-0.0105454545454545
Woooo hoooo!!!,joy,positive,0.0
"Ow, no ‘woo-hooing,’ no ‘woo-hooing.’",anger,negative,0.0
"Why, what happened?",surprise,negative,-0.0953333333333333
"Ah, I fooled around with Joey’s sister.  Well, that’s not the worst part.",sadness,negative,-0.0775714285714285
What is the worse part?,neutral,neutral,-0.1564
What’s wrong with you?,anger,negative,-0.01
Nothing!,anger,negative,0.0
"But um, I don’t think it’s anything serious.",neutral,neutral,-0.018125
No way!,anger,negative,-0.08
Damn you 15s!,anger,negative,-0.046
It’s a trifle.,neutral,neutral,-0.186
"First there’s a layer of ladyfingers, then a layer of jam, then custard, which I made from scratch.",neutral,neutral,-0.0649444444444444
"[Joey and Ross make impressed faces] Then raspberries, more ladyfingers, then beef sautéed with peas and onions, [Joey and Ross look like something’s wrong.]",neutral,neutral,-0.0245833333333333
"then a little more custard, and then bananas, and then I just put some whipped cream on top!",neutral,neutral,-0.0595555555555555
It tastes like feet!,disgust,negative,-0.1485
I like it.,joy,positive,-0.036
Are you kidding?,surprise,negative,-0.0286666666666666
Does anyone else think David Copperfield is cute?,neutral,neutral,-0.03325
Shhhh!,anger,negative,0.0
"Folks, has this ever happened to you.",neutral,neutral,-0.0194285714285714
"You go to the refrigerator to get a nice glass of milk,  and these darn cartons are so flingin'-flangin' hard to open.",neutral,neutral,-0.0308695652173913
"Noo way, Kevin.",joy,positive,-0.0533333333333333
"Keep in mind, he's never used this product before, you're gonna see how easy this is to do.",neutral,neutral,-0.0048888888888888
This works with any milk carton.,neutral,neutral,-0.0916666666666666
"Wow, it is easy.  Now, I can have milk everyday.",surprise,positive,-0.0261818181818181
Good day for married people huh?,surprise,negative,-0.065
I can't wait to be with you!,joy,positive,-0.1314285714285714
I'll just tell Rachel I'm gonna be doing laundry for a couple of hours.,neutral,neutral,-0.0394999999999999
Laundry. Huh. Is that my new nickname?,joy,positive,-0.1414285714285714
Arghh!!,disgust,negative,-0.206
Oh I’m so sorry man! Is there anything I can do?,sadness,negative,-0.0498181818181818
Yeah?,neutral,neutral,-0.122
"Oh, Chandler, Wayne.",neutral,neutral,-0.0306666666666666
"Wayne, Chandler.",neutral,neutral,-0.046
What do you need?,neutral,neutral,-0.132
What?,surprise,negative,0.0
"See ya Phoebe! Oh and hey, thanks for chipping in!",joy,positive,-0.0982
You chipped in?!,surprise,positive,-0.0926666666666666
"Yeah, but they didn't ask me!",anger,negative,-0.034
Y'know?,neutral,neutral,0.0
"Yeah, but you're making me look bad!",anger,negative,-0.0208571428571428
No I'm not.,neutral,neutral,0.0
No!,surprise,positive,0.0
They'll see you talking to me and that's--I'm a hit!,joy,positive,-0.0351999999999999
"Oh hey, Pheebs!",joy,positive,-0.092
"Oh hey, Ross.",neutral,neutral,-0.092
"Umm, see, I was thinking maybe you two could switch apartments because Phoebe's more our kind of people.",fear,negative,-0.0377222222222222
"Yeah, okay, my bad.",joy,positive,-0.1525
Here. I need to borrow some moisturizer.,neutral,neutral,-0.1601428571428571
"C'mon, we're roommates!  My eyes!! My eyes!!",disgust,negative,-0.08375
"Oh, that would be Monica.",neutral,neutral,-0.0075999999999999
"Hey, listen, I wanna borrow a coupla things, Aurora spent the night, I really wanna make her breakfast.",neutral,neutral,-0.1033333333333333
"Oh, you got the whole night, huh?",surprise,positive,-0.0757142857142857
"Yeah, well, I only have twenty minutes until Ethan, so, y'know..",neutral,neutral,-0.0382727272727272
"Ooh, do I sense a little bit of resentment?",surprise,negative,-0.146
'Kay?,neutral,neutral,0.0
"Well, every- single- second is like that with Aurora.. and I've just wasted about thirty-five of them talking to you people, so, uh.. Monica, can you help me with the door?",neutral,neutral,-0.0357419354838709
"Oh, um, Chandler?",neutral,neutral,-0.237
"Y'know, the-the old Monica would-would remind you to scrub that Teflon pan with a plastic brush...But I'm not gonna do that.",neutral,neutral,-0.0304761904761904
"Hey Monica, it's Joey!",joy,positive,-0.069
"Aw, come on! It'll be years before I forget you!",neutral,neutral,-0.0525999999999999
"Joey, what's it like on a movie set, huh?",neutral,neutral,-0.0368888888888888
Do you have a chair with your name on it?,neutral,neutral,-0.0045
Uh-oh!,fear,negative,-0.432
"I gotta go Monica, my uh, my sushi's here!",neutral,neutral,-0.0201111111111111
Sorry about that. Thanks for waitin'.,neutral,neutral,-0.1019999999999999
Pants and a sweater?,anger,negative,-0.186
"Why, mom?",anger,negative,-0.0039999999999999
Who am I gonna meet in a blackout?,anger,negative,-0.0269999999999999
Could we talk about this later?,anger,negative,-0.0105
OK.,neutral,neutral,0.0
Can I borrow the phone? I want to call my apartment and check on my grandma.  What's my number?,neutral,neutral,-0.0018
"Well, I never call",neutral,neutral,-0.0175
What ‘cha doing?,neutral,neutral,0.0
What about the chick?,neutral,neutral,-0.0565
Chicks don’t swim.,neutral,neutral,-0.1473333333333333
"See, I told you they don’t swim.",neutral,neutral,-0.0502857142857142
Wait. Give him a minute.,neutral,neutral,-0.1446
"Noo!  Oh, it’s okay, it’s okay, baby, baby, baby.",fear,negative,-0.0738
"Me taking care of you is no problem, huh?",neutral,neutral,-0.0671111111111111
"Okay, I’m gonna take that spit bubble as, ""Yeah, I do!""",neutral,neutral,-0.0965454545454545
"Okay, after I get rid of this dirty diaper Leslie, I’ll set you up with a clean one.",neutral,neutral,-0.0725555555555555
"Okay, I’m sorry.",sadness,negative,-0.2699999999999999
I didn’t mean to scare you.,sadness,negative,-0.0386666666666666
Okay?,neutral,neutral,-0.234
"‘Cause let’s face it, we’re at Monica’s.",neutral,neutral,-0.0134285714285714
I broke it.,sadness,negative,-0.0866666666666666
"Okay, good.",neutral,neutral,-0.083
Why are there only two of you?,fear,negative,-0.0564285714285714
Leslie?,neutral,neutral,0.0
Where are you Leslie?,fear,negative,0.0
"Leslie, now would be a",sadness,negative,-0.0011999999999999
"Hey, why are you mopping your ceiling?",sadness,negative,-0.0815714285714285
"Oh, there’s banana on it.",neutral,neutral,-0.0924
You said she was bald.,anger,negative,-0.0928
"Yeah, she was bald, she’s not now.",neutral,neutral,-0.0791428571428571
How could you not tell me that she has hair?,surprise,negative,-0.054
"Well I’m sorry, I thought you said it was okay.",sadness,negative,-0.0519999999999999
"Yeah, I said what was okay when I thought she was some weird bald chick. I mean, y'know, that girl has hair got",anger,negative,-0.056
"Why, does she have a bad personality?",neutral,neutral,-0.0145714285714285
"Do you have a minute? I’d like to talk to you about something I’m, I’m really uncomfortable talking about.",fear,negative,-0.0274736842105263
"Whoa, for like months?",surprise,positive,-0.1235
No!,surprise,negative,0.0
"Ow! My ass. Okay. Okay.  Oh, shhh!",anger,negative,-0.0585
No! No!! It’s me! It’s me! I-I didn’t want to make any noise!,fear,negative,-0.0052307692307692
Then don't break in!!,anger,negative,-0.1485
"Oh yeah, Smokey Joe here got half way to the highway and collapsed.",anger,negative,-0.1251538461538461
Then why are you smoking?,disgust,negative,-0.1132
"Honey, I was wondering....",neutral,neutral,-0.07825
Hmm?,neutral,neutral,-0.276
"Nooo, I had to return it to the costume place.",sadness,negative,-0.053
Hmm.,neutral,neutral,-0.276
Yeah.,sadness,negative,-0.122
No.,neutral,neutral,0.0
Ugh!,disgust,negative,-0.428
"I mean if you buy a bed from Janice’s ex-husband, that’s like betraying Chandler.",anger,negative,-0.0058571428571428
Hi. Y'know in England this car would be on the other side of the store.  Woo!,joy,positive,-0.0588235294117647
"Aw, all right take this bed, you can make other friends.",joy,positive,-0.017
"Good for you.  Uh, quarters or rolls of quarters?",joy,positive,-0.0626
That's OK.,neutral,neutral,0.0
"Because you know, you could make little puppets out of them, and you could use them in your theater of cruelty.",anger,negative,-0.051095238095238
We can't do that.,neutral,neutral,-0.01675
What? What can't you do?,surprise,negative,-0.0968
She really said that?,surprise,positive,0.0
